brand,sku,price_positioning,offer_price,regular_price,basket_price,discount_price
16arlington,1163155.0,0.0,441.0,630.0,441.0,189.0
3.1 phillip lim,1155970.0,0.0,327.3888888888889,423.44444444444446,327.94444444444446,96.05555555555556
a.p.c. atelier de production et de création,1006246.0,100.0,155.0,155.0,160.0,0.0
a.w.a.k.e. mode,1173543.7142857143,0.0,280.14285714285717,396.2857142857143,281.57142857142856,116.14285714285714
acne studios,1135948.294117647,10.851279294368702,326.4779411764706,467.44117647058823,328.75735294117646,140.96323529411765
adam lippes,1161882.625,12.5,352.375,852.5,352.375,500.125
adam selman sport,1151915.0,0.0,77.0,181.5,82.0,104.5
adidas by stella mccartney,1152287.0,17.375886524822697,142.0,175.33333333333334,145.33333333333334,33.333333333333336
adidas originals,1129063.375,0.0,38.75,79.375,43.75,40.625
adidas originals by alexander wang,1132028.0,0.0,91.0,130.0,96.0,39.0
adriana degreas,1159071.5,54.10958904109589,194.5,295.0,197.0,100.5
aesop,655087.25,0.0,40.5,40.5,45.5,0.0
aeydē,1144097.888888889,0.0,194.22222222222223,258.77777777777777,197.0,64.55555555555556
agent provocateur,1114754.0,0.0,130.75,130.75,135.75,0.0
agolde,1171796.0,14.285714285714286,173.78571428571428,180.0,176.64285714285714,6.214285714285714
akris,1147588.0,0.0,1704.0,2840.0,1704.0,1136.0
alanui,1170119.6666666667,33.333333333333336,1912.8333333333333,1912.8333333333333,1912.8333333333333,0.0
alaïa,1183036.0,0.0,1010.0,1010.0,1010.0,0.0
albus lumen,1141105.5,100.0,295.0,295.0,295.0,0.0
alessandra rich,1183097.6666666667,21.28060263653484,511.0,778.8888888888889,512.1111111111111,267.8888888888889
alex mill,1164775.0,0.0,83.52000000000001,83.52000000000001,88.52000000000001,0.0
alex perry,1172159.0,0.0,1439.4,2065.8,1439.4,626.4
alexachung,1154204.6666666667,56.076388888888886,234.16666666666666,255.5,235.83333333333334,21.333333333333332
alexander mcqueen,1160019.2432432433,10.97036243402813,903.6081081081081,1352.1824324324325,903.6756756756756,448.5743243243243
alexander wang,1146079.9268292682,9.561641101990965,502.0487804878049,675.7560975609756,502.9024390243902,173.70731707317074
alexanderwang.t,1153914.625,12.5,207.3125,274.8125,208.5625,67.5
alexandre birman,1190000.0,0.0,290.0,290.0,290.0,0.0
alexandre vauthier,1175694.888888889,11.11111111111111,1124.0,2454.4444444444443,1124.0,1330.4444444444443
alice + olivia,1159621.4827586208,6.896551724137931,296.63793103448273,446.6551724137931,298.01724137931035,150.01724137931035
alice mccall,1163955.25,75.0,356.75,386.25,358.0,29.5
altuzarra,1151731.1666666667,15.030387328064078,672.6666666666666,1147.7916666666667,672.6666666666666,475.125
ambush®,1169502.0,4.166666666666667,308.8,561.9,311.8,253.1
amina muaddi,1161492.0,0.0,522.75,522.75,522.75,0.0
amiri,1167713.875,50.0,925.375,1026.875,926.0,101.5
